gen	nevals	avg    	std    	min    	max    
0  	16    	2581.86	893.227	1972.98	4832.09
1  	16    	2283.01	604.464	1972.98	3897.56
2  	16    	2032.48	142.917	1958.1 	2431.96
3  	16    	2164.12	475.286	1677.71	3845.43
4  	16    	2072.32	672.713	505.645	4182.17
5  	16    	2064.86	488.532	1160.47	3673.33
6  	16    	1921.64	687.829	676.998	3409.99
7  	16    	2019.95	995.091	731.775	4836.92
8  	16    	1739.31	674.091	624.977	3265.95
9  	16    	1452.67	841.242	547.219	4124.84
10 	16    	1147.98	609.262	530.074	2385.57
11 	16    	787.857	349.468	560.581	1992.65
12 	16    	740.161	272.665	475.105	1377.14
13 	16    	935.309	557.668	474.459	2442.41
14 	16    	891.434	734.126	437.298	2481.91
15 	16    	657.037	213.239	460.381	1293.13
16 	16    	774.339	507.813	454.367	2341.31
17 	16    	933.602	1048.14	465.913	4779.04
18 	16    	816.242	482.887	423.963	1947.93
19 	16    	950.462	679.484	435.409	2412.17
20 	16    	579.428	382.823	433.369	2038.6 
21 	16    	664.777	479.707	426.659	2250.25
22 	16    	606.63 	388.23 	422.05 	1781.2 
23 	16    	527.051	298.371	419.237	1679.3 
24 	16    	494.635	61.3802	423.991	604.021
25 	16    	478.803	79.3083	427.918	761.499
26 	16    	469.299	54.0338	413.016	620.384
27 	16    	548.271	327.034	422.143	1808.19
28 	16    	768.815	888.486	424.666	4135.25
29 	16    	480.319	103.45 	424.066	873.04 
30 	16    	546.394	217.615	419.42 	1323.13
31 	16    	522.801	197.929	417.914	1244.04
32 	16    	458.995	63.8731	414.564	669.445
33 	16    	455.271	35.8629	414.709	526.339
34 	16    	460.114	44.2011	416.149	579.116
35 	16    	458.673	54.4334	420.3  	659.606
36 	16    	470.633	108.721	411.998	886.525
37 	16    	480.044	69.5896	419.357	666.253
38 	16    	464.801	36.0837	422.911	535.821
39 	16    	472.406	48.152 	425.063	584.575
40 	16    	746.4  	909.736	415.46 	4156.34
41 	16    	533.914	312.171	427.301	1740.75
42 	16    	462.366	47.2417	417.691	626.427
43 	16    	543.294	317.297	419.649	1747.43
44 	16    	458.563	33.3   	420.98 	533.33 
45 	16    	620.606	621.461	422.186	3023.67
46 	16    	626.849	549.66 	423.933	2742.15
47 	16    	514.239	165.546	416.018	1043.19
48 	16    	494.731	135.901	415.097	947.282
49 	16    	987.712	1253.6 	417.747	4283.21
50 	16    	447.777	34.7165	418.48 	537.269
51 	16    	439.444	22.9242	408.927	492.181
52 	16    	669.483	876.044	414.6  	4060.7 
53 	16    	441.474	26.0556	418.158	509.619
54 	16    	451.287	72.8612	421.79 	730.983
55 	16    	452.779	26.4145	417.899	517.364
56 	16    	449.88 	25.9983	415.388	516.711
57 	16    	444.875	20.0931	423.465	488.301
58 	16    	440.428	15.8385	419.534	476.011
59 	16    	440.45 	19.1894	424.378	492.334
60 	16    	489.727	199.091	416.085	1258.14
61 	16    	441.496	16.0742	417.747	482.4  
62 	16    	435.354	16.1685	415.939	480.042
63 	16    	435.514	20.1056	414.431	486.967
64 	16    	442.647	24.5708	426.013	533.135
65 	16    	437.973	28.6543	411.152	530.289
66 	16    	474.872	148.153	416.111	1046.71
67 	16    	447.389	23.8222	421.207	520.076
68 	16    	427.893	8.69226	410.107	446.495
69 	16    	451.026	33.9237	418.402	555.825
70 	16    	488.219	146.469	421.549	1045.93
71 	16    	434.667	13.5209	418.878	469.163
72 	16    	437.699	14.2639	415.246	464.28 
73 	16    	434.647	14.7741	418.908	470.293
74 	16    	431.578	10.5919	415.382	456.937
75 	16    	428.731	9.98937	415.011	446.982
76 	16    	433.139	14.2081	413.05 	462.608
77 	16    	434.643	19.0588	409.09 	479.164
78 	16    	437.885	17.2315	416.417	486.898
79 	16    	435.217	11.2505	418.361	453.01 
80 	16    	425.614	10.6633	410.287	452.548
81 	16    	435.875	23.2788	423.26 	523.07 
82 	16    	431.962	10.3354	406.317	447.663
83 	16    	436.301	27.3009	420.581	534.965
84 	16    	433.151	12.2052	415.08 	451.399
85 	16    	428.368	10.4266	411.566	446.723
86 	16    	438.616	25.5235	411.127	527.127
87 	16    	439.828	16.9232	419.836	471.622
88 	16    	428.49 	9.14142	414.325	445.31 
89 	16    	430.231	10.0477	414.465	458.588
90 	16    	435.663	18.5774	414.53 	497.808
91 	16    	439.113	19.302 	411.556	493.236
92 	16    	426.178	10.1926	410.409	450.063
93 	16    	431.083	9.398  	415.782	448.351
94 	16    	430.338	10.4871	415.764	446.481
95 	16    	436.344	18.4248	416.783	498.271
96 	16    	429.473	12.5899	410.977	457.469
97 	16    	431.024	12.2678	418.365	464.242
98 	16    	428.772	14.1619	405.871	453.202
99 	16    	431.412	13.9043	410.722	462.219
