gen	nevals	avg    	std    	min    	max    
0  	16    	2045.22	1279.75	636.757	4772.4 
1  	16    	1542.4 	454.32 	1330.71	3225.11
2  	16    	1723.78	1045.15	436.642	4750.41
3  	16    	1502.09	965.597	315.687	4640.41
4  	16    	1440.41	671.048	453.705	2894.63
5  	16    	1150.11	501.918	269.409	2194.34
6  	16    	1114.76	957.605	178.742	4182.82
7  	16    	1015.03	569.733	250    	2006.89
8  	16    	756.417	564.974	113.291	2139.44
9  	16    	671.826	697.375	88.1258	2971.41
10 	16    	784.932	693.435	102.283	1937.99
11 	16    	502.132	510.667	83.6992	1937.99
12 	16    	923.055	803.89 	80.0811	2654.77
13 	16    	617.904	640.935	78.8791	1937.99
14 	16    	485.894	649.838	78.5454	1937.99
15 	16    	387.844	501.408	75.7676	1776.76
16 	16    	680.732	734.872	76.1923	1937.99
17 	16    	249.709	350.334	74.1288	1332.79
18 	16    	435.852	484.406	72.5541	1426.44
19 	16    	420.376	565.492	73.6789	1877.59
20 	16    	318.231	514.226	76.3435	1933.56
21 	16    	206.156	447.82 	72.6448	1937.99
22 	16    	153.228	184.35 	71.7688	819.613
23 	16    	187.293	302.222	71.7437	1313.84
24 	16    	594.553	958.75 	73.3935	3555.99
25 	16    	167.701	228.16 	72.4915	973.471
26 	16    	221.999	379.143	70.7572	1229.23
27 	16    	227.162	325.748	72.5818	1128.82
28 	16    	176.31 	275.207	71.1778	1100.54
29 	16    	232.556	320.701	72.8623	989.132
30 	16    	109.437	119.81 	72.3758	572.918
31 	16    	251.427	378.347	70.9372	1312.02
32 	16    	209.668	329.624	70.6282	1129.64
33 	16    	122.865	88.0787	70.2754	368.451
34 	16    	302.807	333.018	71.189 	1215.15
35 	16    	172.389	325.053	72.2992	1419.89
36 	16    	294.532	508.52 	69.5823	1632.53
37 	16    	174.352	292.735	71.5693	1270.13
38 	16    	183.736	286.079	71.1777	1092.69
39 	16    	75.701 	4.13149	70.5097	85.1019
40 	16    	75.5965	3.32246	69.6728	82.6992
41 	16    	78.0608	11.3779	69.6298	120.125
42 	16    	76.6191	4.25282	70.8375	87.0982
43 	16    	315.214	609.868	73.1981	1937.99
44 	16    	89.3391	46.1892	69.4627	266.372
45 	16    	144.395	187.278	71.3671	774.088
46 	16    	97.5418	84.5495	70.3128	424.711
47 	16    	77.2482	8.54665	70.0028	107.942
48 	16    	228.213	462.415	68.3501	1937.99
49 	16    	146.095	205.652	70.6058	883.741
50 	16    	127.22 	187.388	71.9483	852.41 
51 	16    	78.3159	10.7966	69.3299	115.201
52 	16    	199.075	357.987	68.8254	1451.17
53 	16    	148.688	104.124	70.5885	399.342
54 	16    	74.9217	3.06933	70.8032	79.7083
55 	16    	233.917	448.466	69.0537	1937.99
56 	16    	197.242	449.822	70.4578	1937.99
57 	16    	114.648	132.074	71.3589	619.175
58 	16    	218.549	449.885	71.9584	1937.99
59 	16    	74.4277	2.79828	70.0414	78.8899
60 	16    	74.9182	2.59159	70.8525	80.1777
61 	16    	102.149	80.4993	69.0338	383.301
62 	16    	82.2125	28.4598	70.6917	191.31 
63 	16    	191.199	200.591	71.6105	799.063
64 	16    	140.812	256.044	70.5149	1132.4 
65 	16    	146.354	276.787	70.6293	1218.32
66 	16    	87.8173	34.8088	71.2463	200.253
67 	16    	95.6251	77.7354	69.5383	396.092
68 	16    	207.712	451.952	70.2578	1937.99
69 	16    	107.554	85.5237	70.1003	417.014
70 	16    	204.104	341.52 	71.4658	1316.29
71 	16    	153.082	263.872	69.95  	1170.95
72 	16    	106.658	95.5571	70.8651	460.015
73 	16    	81.9359	29.1699	70.6986	194.441
74 	16    	75.7537	4.3579 	70.5146	90.6655
75 	16    	83.5749	25.3558	70.5342	168.71 
76 	16    	82.1586	28.2515	71.1814	190.914
77 	16    	80.8209	18.5559	70.7375	139.207
78 	16    	74.212 	2.40796	70.7967	77.4945
79 	16    	72.5466	2.54669	68.049 	76.301 
80 	16    	94.6534	64.6809	70.1975	336.162
81 	16    	86.3761	37.3503	70.3955	227.679
82 	16    	76.0218	6.40307	70.5134	97.0697
83 	16    	73.6884	2.74644	71.1298	80.3667
84 	16    	72.2832	2.36343	68.9392	77.0154
85 	16    	82.9148	29.0912	69.6837	192.456
86 	16    	75.3564	6.09502	69.8809	94.606 
87 	16    	115.526	155.169	68.0607	715.48 
88 	16    	78.4272	19.6258	69.3248	153.998
89 	16    	74.7211	5.9902 	69.2925	94.6979
90 	16    	83.1295	30.1509	69.7214	197.883
91 	16    	81.8337	20.6659	71.6514	153.335
92 	16    	89.5943	28.9202	70.5396	167.367
93 	16    	95.8166	76.5098	70.1955	391.202
94 	16    	74.8155	3.0055 	70.2708	82.7329
95 	16    	113.474	132.846	70.5437	624.883
96 	16    	98.0694	50.7525	70.1564	222.806
97 	16    	90.3587	39.7257	69.9956	220.717
98 	16    	91.0912	52.9015	69.9654	285.822
99 	16    	98.6203	47.138 	69.18  	232.721
