gen	nevals	avg    	std    	min    	max    
0  	16    	1354.43	846.839	203.552	4082.67
1  	16    	740.816	224.46 	376.586	911.409
2  	16    	1193.44	1095.92	141.639	4507.9 
3  	16    	1747.99	1699.93	192.76 	4412.19
4  	16    	597.876	385.64 	173.785	1345.17
5  	16    	630.435	727.748	238.571	3166.05
6  	16    	278.886	207.117	110.711	1022.89
7  	16    	225.631	172.549	96.0594	619.816
8  	16    	190.755	220.004	86.6075	1023.53
9  	16    	152.572	159.701	90.2648	769.13 
10 	16    	146.251	153.578	74.3151	719.952
11 	16    	319.661	397.607	70.6735	1177.76
12 	16    	150.179	208.09 	69.3147	947.303
13 	16    	454.961	883.928	76.8534	3583.65
14 	16    	111.822	65.6401	75.1542	356.064
15 	16    	166.029	224.468	71.4792	926.586
16 	16    	694.478	1412.33	71.917 	4516.66
17 	16    	266.502	260.878	72.6752	861.303
18 	16    	536.493	1075.29	69.7444	3540.81
19 	16    	233.268	353.245	68.6907	1307.66
20 	16    	452.105	509.751	73.1326	1343.48
21 	16    	900.24 	1453.45	76.1003	4344.02
22 	16    	585.252	856.102	75.3446	3439.71
23 	16    	802.868	1188.76	71.882 	4611.65
24 	16    	480.304	835.635	69.9742	3254.56
25 	16    	402.956	880.853	69.7213	3669.11
26 	16    	483.322	1034.03	72.3058	4336.67
27 	16    	476    	1078.22	70.7658	4512.32
28 	16    	450.677	942.357	70.926 	3701.41
29 	16    	83.807 	14.3198	71.269 	122.083
30 	16    	189.971	243.98 	70.7966	930.221
31 	16    	168.408	224.267	68.9666	832.18 
32 	16    	447.51 	987.518	70.5438	4192.92
33 	16    	341.442	702.498	70.7656	2848.75
34 	16    	209.331	334.113	67.8954	1157.67
35 	16    	213.693	354.708	70.6881	1204.41
36 	16    	148.496	212.315	69.0412	940.543
37 	16    	237.697	326.597	70.6113	1080.71
38 	16    	233.464	270.845	66.8236	974.854
39 	16    	152.534	152.24 	68.2101	532.793
40 	16    	220.054	322.921	69.4593	1054.73
41 	16    	412.211	1006.02	70.3044	4220.96
42 	16    	553.221	1120.38	70.0317	4138.87
43 	16    	364.964	930.79 	67.4458	3877.71
44 	16    	149.976	168.215	66.8181	708.176
45 	16    	108.333	98.3296	69.5969	471.694
46 	16    	100.994	62.5898	68.4511	269.505
47 	16    	117.577	123.509	67.615 	572.841
48 	16    	172.983	244.075	69.7188	1015.9 
49 	16    	134.239	128.377	68.7764	476.882
50 	16    	115.744	113.551	68.7349	430.251
51 	16    	83.1121	42.3939	69.1083	247.111
52 	16    	104.773	109.398	67.2295	526.197
53 	16    	147.038	211.416	68.1861	948.592
54 	16    	80.3103	24.9732	68.4763	173.931
55 	16    	137.477	207.768	68.8239	932.104
56 	16    	109.938	124.755	69.0827	589.191
57 	16    	94.5337	59.4579	68.0906	286.202
58 	16    	86.9892	45.941 	67.9308	261.927
59 	16    	78.2222	30.2997	68.3066	195.286
60 	16    	158.885	192.332	68.6382	714.476
61 	16    	105.296	55.6877	69.3912	279.015
62 	16    	71.5072	1.44882	69.2294	73.9423
63 	16    	133.554	126.421	69.6628	559.113
64 	16    	73.856 	4.29637	69.8729	84.2161
65 	16    	76.6035	14.5169	68.2976	116.29 
66 	16    	78.4344	26.6641	69.0346	181.489
67 	16    	77.6778	18.686 	69.0809	149.145
68 	16    	100.467	84.0688	68.5431	391.902
69 	16    	139.118	170.75 	67.7066	640.103
70 	16    	273.475	350.488	69.7223	1330.87
71 	16    	111.564	129.411	68.1554	609.012
72 	16    	132.985	147.021	69.4815	646.444
73 	16    	84.3615	32.4484	67.8472	201.143
74 	16    	90.0285	51.0897	67.4744	278.95 
75 	16    	87.6359	29.5272	66.9256	164.506
76 	16    	106.048	128.2  	68.5675	602.115
77 	16    	124.796	115.812	68.9993	465.242
78 	16    	128.883	138.796	68.0098	596.115
79 	16    	91.313 	35.0957	68.6766	184.098
80 	16    	90.8139	73.0123	68.0162	373.322
81 	16    	83.959 	49.1061	67.5789	273.991
82 	16    	81.7372	39.5145	68.6701	234.584
83 	16    	88.491 	53.6074	68.7251	292.278
84 	16    	98.0122	101.66 	68.7842	491.602
85 	16    	78.434 	26.147 	68.9257	179.305
86 	16    	104.722	121.327	67.9103	573.232
87 	16    	76.3586	18.2669	69.7381	146.919
88 	16    	81.7448	33.8196	66.9877	211.713
89 	16    	74.5976	12.9853	67.0162	123.535
90 	16    	77.3533	19.1826	67.2049	147.691
91 	16    	77.855 	25.7572	68.3882	177.277
92 	16    	80.3588	35.3096	68.7043	216.952
93 	16    	74.5965	13.794 	66.8869	127.434
94 	16    	73.0237	5.2487 	68.7028	91.9466
95 	16    	78.9045	17.068 	68.9517	130.701
96 	16    	250.587	674.395	68.4622	2861.47
97 	16    	72.3935	2.78341	68.5793	78.5888
98 	16    	135.256	238.241	68.6796	1057.47
99 	16    	92.4571	66.2572	69.0529	337.037
