gen	nevals	avg    	std    	min    	max    
0  	16    	2051.77	1603.48	202.363	4586.36
1  	16    	1304.95	1236.94	183.027	4551.79
2  	16    	695.461	268.342	120.215	920.851
3  	16    	594.336	440.539	123.069	1339.26
4  	16    	413.702	366.224	163.982	1342.79
5  	16    	646.504	854.553	88.4341	3639.43
6  	16    	234.963	129.301	137.514	618.143
7  	16    	386.647	420.279	92.6386	1317.71
8  	16    	266.231	280.55 	106.128	923.886
9  	16    	339.99 	314.892	78.1914	928.104
10 	16    	228.238	337.053	80.2331	1196.69
11 	16    	321.279	434.653	80.666 	1342.79
12 	16    	233.341	305.416	77.1188	1348.3 
13 	16    	158.546	236.42 	74.0754	1056.3 
14 	16    	399.195	432.353	73.3204	1199.82
15 	16    	219.224	300.693	72.8761	1150.37
16 	16    	112.105	100.155	70.2443	495.967
17 	16    	155.281	189.693	71.0028	704.745
18 	16    	158.148	248.837	70.9834	1115.64
19 	16    	177.804	190.038	71.7666	694.673
20 	16    	186.8  	285.943	69.6668	1148.91
21 	16    	593.814	1189.27	72.5357	3788.58
22 	16    	226.263	558.015	67.4911	2386.92
23 	16    	210.218	239.834	71.4627	997.634
24 	16    	417.546	899.962	73.5805	3814.11
25 	16    	429.311	1012.79	70.9312	4235.22
26 	16    	184.006	280.461	69.0234	1045.64
27 	16    	133.648	156.602	67.8387	688.418
28 	16    	209.338	278.1  	68.5078	1187.67
29 	16    	131.206	205.943	68.3395	927.922
30 	16    	164.3  	262.667	69.7189	1137.55
31 	16    	142.232	232.368	67.5855	1035.05
32 	16    	74.7688	6.38494	68.3186	96.9125
33 	16    	232.042	301.263	68.9997	1153.34
34 	16    	276.868	366.278	69.0592	1125.18
35 	16    	182.236	265.055	66.8312	899.47 
36 	16    	129.431	153.167	69.0881	709.618
37 	16    	246.462	367.761	67.5124	1202.77
38 	16    	259.989	303.463	68.1887	1046.39
39 	16    	176.026	206.722	67.5629	844.458
40 	16    	254.88 	334.945	69.0946	1080.43
41 	16    	223.822	320.424	67.1763	1113.22
42 	16    	257.341	352.358	68.8663	1169.42
43 	16    	184.106	264.316	67.6338	1014.44
44 	16    	161.766	198.677	71.7882	844.777
45 	16    	204.694	279.496	69.1663	935.722
46 	16    	205.566	264.097	69.5506	1042.73
47 	16    	369.606	433.062	70.1055	1145.78
48 	16    	79.2729	17.2406	68.4418	136.351
49 	16    	95.4608	60.2176	67.7183	289.339
50 	16    	89.6529	64.9912	68.7346	340.853
51 	16    	161.522	170.43 	68.6768	669.431
52 	16    	77.631 	10.4399	69.0235	103.467
53 	16    	159.366	241.173	67.4714	1039.53
54 	16    	87.6428	55.6271	67.6319	302.431
55 	16    	82.8075	37.9851	68.2209	229.309
56 	16    	103.837	94.2355	69.5824	460.968
57 	16    	230.476	266.856	68.971 	1119.3 
58 	16    	106.41 	124.757	68.0237	589.315
59 	16    	184.285	304.039	69.0412	1147.78
60 	16    	74.4419	6.93951	67.6694	92.5935
61 	16    	114.887	94.1844	69.4965	425.233
62 	16    	72.4715	2.82128	68.075 	77.9576
63 	16    	82.0072	31.2775	70.4879	202.25 
64 	16    	85.1423	25.9465	69.2337	144.694
65 	16    	88.0174	60.1929	68.7905	320.936
66 	16    	90.0139	43.1831	67.8491	240.67 
67 	16    	107.512	107.815	69.4045	511.397
68 	16    	95.977 	67.6925	66.9253	305.6  
69 	16    	90.6648	68.768 	68.334 	355.847
70 	16    	133.092	156.219	67.9201	705.514
71 	16    	155.177	226.995	68.255 	993.613
72 	16    	117.956	127.35 	67.7439	523.527
73 	16    	103.773	74.6301	67.7132	337.46 
74 	16    	106.93 	135.319	68.3334	630.887
75 	16    	86.9874	56.1544	67.5225	303.184
76 	16    	169.921	192.663	68.755 	776.707
77 	16    	91.9118	49.204 	68.402 	253.759
78 	16    	125.161	137.942	68.8022	618.954
79 	16    	115.919	110.069	67.9984	485.522
80 	16    	115.825	101.98 	68.2688	462.806
81 	16    	72.7481	6.3678 	68.1206	96.5032
82 	16    	122.406	125.891	67.9018	530.71 
83 	16    	112.725	128.584	68.3538	596.961
84 	16    	132.352	192.183	67.7245	868.328
85 	16    	74.8397	11.2128	68.538 	116.888
86 	16    	115.834	164.617	69.2863	753.125
87 	16    	111.406	113.009	67.7959	525.878
88 	16    	101.005	87.9978	68.0868	420.722
89 	16    	131.953	144.479	68.6903	662.393
90 	16    	70.9842	2.18154	68.9199	77.5269
91 	16    	89.9968	42.7862	68.5269	242.148
92 	16    	72.4683	4.23747	67.7597	87.2608
93 	16    	133.759	184.846	68.1397	841.079
94 	16    	115.05 	86.543 	67.6121	382.294
95 	16    	125.554	101.147	67.0774	363.031
96 	16    	108.706	89.5333	67.6013	378.011
97 	16    	94.0117	45.8706	68.1138	229.817
98 	16    	72.5436	3.3629 	69.3948	80.5973
99 	16    	82.3638	47.6529	67.6402	266.828
