gen	nevals	avg    	std    	min    	max    
0  	16    	1446.44	1419.95	122.4  	4556.82
1  	16    	643.274	518.821	110.5  	2047.9 
2  	16    	873.2  	1390.2 	113.009	4633.57
3  	16    	352.457	420.48 	94.3017	1435.07
4  	16    	175.232	99.8077	97.6578	403.858
5  	16    	140.622	72.6684	94.4542	401.75 
6  	16    	238.339	254.267	91.602 	907.142
7  	16    	347.288	418.302	82.4566	1193.41
8  	16    	330.534	345.78 	88.6972	1279.17
9  	16    	484.078	933.13 	83.5419	3893.93
10 	16    	318.99 	368.634	81.83  	1058.82
11 	16    	204.639	267.182	80.2697	984.285
12 	16    	235.494	346.976	72.918 	1159.12
13 	16    	169.845	235.516	73.7018	1053.92
14 	16    	118.579	90.544 	72.2631	437.428
15 	16    	254.231	338.943	74.6624	1179.97
16 	16    	292.645	404.824	71.1357	1202.59
17 	16    	252.943	372.406	71.2974	1251.27
18 	16    	168.049	259.993	71.4136	1133.41
19 	16    	394.191	439.663	74.5737	1285.49
20 	16    	213.196	299.167	70.9113	1214.54
21 	16    	261.881	392.747	70.3818	1309.97
22 	16    	376.099	417.904	72.5203	1194.53
23 	16    	261.494	383.846	68.0532	1281.85
24 	16    	217.293	294.085	71.0873	947.11 
25 	16    	307.659	366.55 	70.1176	1153.38
26 	16    	350.047	419.283	72.2776	1215.51
27 	16    	430.889	464.443	69.2769	1262.57
28 	16    	185.943	260.895	72.0341	903.108
29 	16    	149.473	188.582	70.2594	818.562
30 	16    	100.804	77.5219	68.4445	398.388
31 	16    	183.221	267.572	70.3474	1052.6 
32 	16    	248.181	271.74 	68.3462	839.972
33 	16    	196.903	240.623	69.9605	763.24 
34 	16    	143.145	224.659	69.0532	1006.37
35 	16    	206.024	286.99 	70.9366	1072.48
36 	16    	138.114	228.337	68.9748	1020.46
37 	16    	506.913	486.2  	72.0262	1200.9 
38 	16    	242.921	331.591	69.9805	1166.6 
39 	16    	83.9944	13.9625	68.3778	129.82 
40 	16    	188.172	283.833	70.6779	964.564
41 	16    	262.024	288.031	70.0811	938.247
42 	16    	285.227	393.265	71.5404	1123.62
43 	16    	89.9212	39.6716	70.565 	231.064
44 	16    	103.753	94.1263	69.904 	466.063
45 	16    	164.504	217.51 	67.4868	883.355
46 	16    	164.484	257.599	68.8799	1052.92
47 	16    	102.656	105.419	68.6991	510.482
48 	16    	181.06 	232.218	68.9184	1019.02
49 	16    	211.888	262.858	69.6421	1004.98
50 	16    	265.01 	332.38 	69.3898	1036.51
51 	16    	276.752	309.297	71.1562	1040.6 
52 	16    	131.57 	155.358	68.964 	683.497
53 	16    	149.456	239.454	69.0401	1062.7 
54 	16    	195.811	272.74 	67.6313	1070.22
55 	16    	202.803	270.602	69.3849	880.996
56 	16    	135.589	240.145	69.0574	1065.55
57 	16    	160.841	233.494	68.5132	852.716
58 	16    	185.287	264.3  	69.0607	1089.4 
59 	16    	236.946	348.363	70.5144	1112.88
60 	16    	71.5688	2.22608	68.1852	76.2007
61 	16    	90.5912	69.0787	70.168 	358.041
62 	16    	73.4754	3.82578	68.8002	82.0235
63 	16    	101.174	53.2882	68.2305	262.428
64 	16    	149.482	135.044	68.9972	608.132
65 	16    	112.581	155.931	68.7214	716.396
66 	16    	123.13 	118.564	68.372 	534.458
67 	16    	92.611 	63.2231	67.49  	329.094
68 	16    	71.2079	1.99077	67.3328	76.0482
69 	16    	129.691	226.284	68.7434	1006.06
70 	16    	224.372	253.579	67.02  	806.952
71 	16    	167.245	249.082	70.0031	1085.16
72 	16    	84.1826	42.6098	68.0695	248.475
73 	16    	88.025 	42.3511	69.2046	234.586
74 	16    	128.7  	196.493	69.347 	886.965
75 	16    	172.068	260.654	69.8987	928.447
76 	16    	118.706	138.727	68.8633	630.471
77 	16    	74.1331	5.13919	68.5961	91.7608
78 	16    	73.5547	2.73758	69.5119	78.3303
79 	16    	131.257	187.241	68.9188	850.656
80 	16    	97.9839	75.2726	67.6628	366.846
81 	16    	73.8678	3.26929	68.7683	81.4026
82 	16    	82.9282	30.8103	68.9145	197.915
83 	16    	114.86 	149.486	69.2943	692.468
84 	16    	74.8489	6.14769	70.0021	95.5712
85 	16    	99.5391	53.1699	69.1246	244.013
86 	16    	74.3346	3.78696	68.8405	83.7016
87 	16    	191.909	255.965	68.5037	930.02 
88 	16    	91.0134	70.5596	67.5635	363.801
89 	16    	127.62 	182.219	67.9124	823.576
90 	16    	87.0399	60.6686	68.6755	321.927
91 	16    	72.545 	2.44071	69.269 	77.8632
92 	16    	73.608 	3.16967	69.4198	83.3632
93 	16    	146.792	236.049	67.8163	1040.5 
94 	16    	71.9896	2.00888	68.3857	75.3742
95 	16    	100.919	78.9253	69.5424	341.913
96 	16    	71.2755	1.78557	68.8575	74.805 
97 	16    	71.906 	2.59198	68.1067	79.6154
98 	16    	123.483	151.237	68.3119	673.753
99 	16    	98.0703	79.9923	68.8486	401.376
