gen	nevals	avg    	std    	min    	max    
0  	16    	2225.86	784.675	1188.56	4716.83
1  	16    	2000.47	322.611	1258.29	2954.06
2  	16    	2127.07	1220.05	564.542	4847.08
3  	16    	2221.11	650.01 	1162.98	4196.36
4  	16    	1657.77	557.903	824.853	2894.06
5  	16    	1780.97	976.833	726.406	4849.71
6  	16    	1668.71	1047.82	542.291	4743.94
7  	16    	1416.54	695.614	533.676	2413.77
8  	16    	1441.88	620.71 	511.842	2385.57
9  	16    	1241.89	649.199	536.35 	2385.57
10 	16    	1481.28	1109.73	489.087	4800.82
11 	16    	1150.74	670.205	558.135	2385.57
12 	16    	1208.11	777.096	455.86 	2403.47
13 	16    	1090.93	897.265	459.455	3800.74
14 	16    	1225.75	824.493	461.677	2526.04
15 	16    	1080.73	682.614	462.981	2440.83
16 	16    	1144.86	851.971	471.451	3190.57
17 	16    	1020   	646.36 	450.456	2385.57
18 	16    	870.877	582.138	451.686	2504.63
19 	16    	1077.85	699.179	476.876	2397.89
20 	16    	1103.96	553.507	477.487	2205.42
21 	16    	1129.28	736.839	450.189	2550.01
22 	16    	1189.05	753.956	457.114	2382.17
23 	16    	800.888	546.535	461.326	2315.29
24 	16    	531.906	144.564	461.613	1036.63
25 	16    	898.765	525.89 	441.277	1754.05
26 	16    	836.408	644.095	441.34 	2549.84
27 	16    	743.788	531.527	455.848	2143.41
28 	16    	687.425	518.893	429.941	2516.69
29 	16    	588.615	228.056	436.306	1123.6 
30 	16    	1103.38	1418.12	439.657	4864.7 
31 	16    	923.51 	845.684	434.216	3466.51
32 	16    	752.989	1038.9 	427.269	4767.88
33 	16    	708.695	897.15 	437.388	4180.4 
34 	16    	897.429	983.17 	429.819	4372.05
35 	16    	555.054	189.12 	450.362	1141.01
36 	16    	803.118	857.011	435.719	3941.8 
37 	16    	571.411	353.73 	428.774	1880.1 
38 	16    	453.885	14.6459	423.282	479.416
39 	16    	686.833	382.106	431.593	1822.89
40 	16    	489.974	93.7418	412.652	828.512
41 	16    	497.033	90.326 	429.069	789.354
42 	16    	464.104	32.3744	426.888	558.151
43 	16    	454.517	19.3605	431.734	514.398
44 	16    	461.272	46.0968	428.511	635.392
45 	16    	464.279	45.851 	418.928	619.894
46 	16    	458.128	21.6118	429.514	513.354
47 	16    	462.426	46.6853	428.603	621.387
48 	16    	458.322	33.3576	423.891	571.861
49 	16    	456.907	24.7219	425.891	520.913
50 	16    	479.687	113.194	416.567	901.346
51 	16    	465.64 	26.7092	426.695	519.418
52 	16    	445.981	16.3448	425.38 	480.471
53 	16    	449.937	15.0998	430.981	494.062
54 	16    	449.431	15.7533	424.722	474.928
55 	16    	443.492	19.3806	418.773	506.083
56 	16    	457.275	60.8078	419.706	687.57 
57 	16    	449.442	25.5794	418.196	505.801
58 	16    	445.525	14.2998	424.678	474.219
59 	16    	458.146	48.4763	410.766	612.547
60 	16    	438.83 	8.24163	425.518	455.34 
61 	16    	442.157	16.2285	424.854	480.727
62 	16    	439.754	20.8294	419.679	507.136
63 	16    	445.736	23.0336	421.093	500.033
64 	16    	445.146	28.2381	423.521	534.309
65 	16    	439.508	26.7852	409.898	533.405
66 	16    	441.246	14.0282	425.197	476.758
67 	16    	436.195	13.5897	414.828	476.639
68 	16    	438.456	12.9525	415.271	458.337
69 	16    	429.718	6.53053	417.995	438.772
70 	16    	441.649	16.1444	411.193	473.534
71 	16    	437.878	14.8222	417.781	480.113
72 	16    	428.279	10.6471	409.657	449.722
73 	16    	433.955	11.4369	415.429	459.79 
74 	16    	457.745	95.2219	413.741	822.344
75 	16    	445.317	33.0345	422.54 	561.886
76 	16    	490.327	170.871	417.479	1122.1 
77 	16    	443.416	19.3573	417.037	487.298
78 	16    	443.801	19.3826	419.619	491.465
79 	16    	446.433	18.8812	422.836	505.805
80 	16    	449.975	38.2791	418.752	576.636
81 	16    	441.023	21.2128	420.762	489.648
82 	16    	433.049	8.41421	420.704	450.645
83 	16    	436.935	17.5897	418.903	486.441
84 	16    	442.627	22.7758	419.424	501.333
85 	16    	434.507	20.0204	413.508	504.9  
86 	16    	439.574	9.76173	422.441	465.49 
87 	16    	472.454	115.315	421.578	915.086
88 	16    	491.726	194.986	413.214	1240.51
89 	16    	440.443	48.5303	408.912	624.256
90 	16    	431.226	13.6605	413.011	463.052
91 	16    	429.373	7.20938	419.846	444.708
92 	16    	433.629	15.0073	415.495	478.734
93 	16    	436.39 	21.4754	414.129	491.217
94 	16    	629.119	755.487	413.635	3554.65
95 	16    	437.389	24.9204	408.56 	496.53 
96 	16    	449.786	46.2686	409.167	560.308
97 	16    	434.959	13.705 	418.07 	475.105
98 	16    	433.279	17.9155	411.344	485.1  
99 	16    	433.186	21.6605	415.417	505.264
