gen	nevals	avg    	std    	min    	max    
0  	16    	2518.53	1362.38	1399.89	4738.82
1  	16    	1768.42	852.815	1398.33	4745.68
2  	16    	1601.44	867.759	896.02 	4749.56
3  	16    	1562.93	847.565	825.057	4733.69
4  	16    	1012.09	407.235	451.937	1400.38
5  	16    	1055.48	739.869	273.499	2680.76
6  	16    	1151.08	717.158	103.023	1938.41
7  	16    	794.617	707.812	90.4679	2386.9 
8  	16    	1482.56	1199.8 	94.7525	4355.14
9  	16    	656.023	457.343	130.894	1938.46
10 	16    	770.714	609.841	119.67 	2426.74
11 	16    	937.622	1028.52	102.794	4405.97
12 	16    	517.026	527.893	89.5606	1694.16
13 	16    	367.879	411.015	79.9644	1371.94
14 	16    	649.638	732.323	87.6003	2091.26
15 	16    	446.372	428.608	82.4786	1520.35
16 	16    	562.087	1005.71	81.0469	4221.81
17 	16    	409.761	540.84 	82.7163	1691.24
18 	16    	572.612	848.217	83.4044	3384.75
19 	16    	321.5  	451.599	80.2854	1538.72
20 	16    	358.328	419.149	78.075 	1342.75
21 	16    	460.784	592.357	80.6219	1772.74
22 	16    	400.35 	418.783	82.1093	1432.78
23 	16    	615.649	1141.53	77.6671	4776.41
24 	16    	333.738	426.794	77.3785	1384.73
25 	16    	310.981	377.639	72.17  	1206.41
26 	16    	259.306	361.968	74.7532	1563.41
27 	16    	527.502	1109.42	71.9322	4595.56
28 	16    	333.13 	417.536	74.2747	1532.26
29 	16    	173.002	262.403	72.2048	1050.67
30 	16    	218.979	304.028	73.158 	1293.22
31 	16    	186.439	413.175	72.6553	1786.44
32 	16    	179.545	255.207	74.1797	1091.61
33 	16    	470.535	609.54 	72.4794	1926.5 
34 	16    	181.616	273.588	73.8852	1171.45
35 	16    	99.0407	51.4034	72.2023	277.915
36 	16    	155.972	249.027	73.5192	1111.67
37 	16    	106.407	61.2136	76.4101	333.22 
38 	16    	166.252	281.173	76.105 	1251.94
39 	16    	125.001	162.198	70.834 	749.407
40 	16    	76.3755	2.38101	73.5111	82.2816
41 	16    	126.297	106.585	72.4388	412.946
42 	16    	149.953	273.729	74.5891	1209.95
43 	16    	83.4443	9.89734	75.382 	114.308
44 	16    	81.3219	10.3571	73.8012	118.426
45 	16    	88.7709	47.3389	69.5989	271.828
46 	16    	174.801	236.425	70.7822	823.504
47 	16    	144.666	239.524	69.5874	1069.38
48 	16    	101.589	72.393 	71.7482	364.888
49 	16    	93.2814	43.1881	72.6597	226.055
50 	16    	109.997	75.9035	70.9764	332.404
51 	16    	119.686	144.695	70.7625	673.719
52 	16    	222.331	362.968	71.0309	1305.93
53 	16    	92.0373	32.6794	72.1556	178.986
54 	16    	111.249	123.167	71.3607	587.564
55 	16    	81.37  	13.4064	71.3554	131.813
56 	16    	86.4378	31.2977	70.3801	204.557
57 	16    	143.19 	158.089	70.5058	681.04 
58 	16    	109.924	122.67 	71.5632	584.659
59 	16    	94.716 	52.4098	71.728 	293.803
60 	16    	77.7534	3.16401	72.5524	83.5406
61 	16    	89.9173	47.2614	71.6587	272.196
62 	16    	97.0046	81.9927	72.7461	414.46 
63 	16    	78.335 	6.88434	72.1376	103.622
64 	16    	131.914	111.819	72.2259	430.298
65 	16    	88.1936	33.4294	72.2944	188.543
66 	16    	79.3221	6.44313	71.612 	98.3798
67 	16    	75.5146	3.05524	70.6529	81.1907
68 	16    	79.9247	7.57597	72.0309	99.0962
69 	16    	79.0762	8.54695	72.0712	109.321
70 	16    	79.5239	11.8512	70.9626	124.244
71 	16    	76.6041	3.28525	70.3605	83.1644
72 	16    	75.0255	2.55117	69.6872	79.3476
73 	16    	75.3783	3.02212	69.534 	83.8132
74 	16    	76.9469	4.84619	72.6171	92.4613
75 	16    	75.9022	1.50961	74.0352	78.6898
76 	16    	76.07  	2.26173	73.1496	80.8635
77 	16    	78.9458	9.21101	72.4952	108.53 
78 	16    	77.7523	6.36825	72.9127	99.5626
79 	16    	76.3187	2.52508	71.6656	80.7112
80 	16    	75.4788	2.57028	71.0104	80.2286
81 	16    	76.054 	2.65136	71.0188	79.9793
82 	16    	75.9523	2.64397	71.9188	82.6057
83 	16    	74.7059	2.22806	70.7016	80.1296
84 	16    	82.431 	29.9822	70.2202	198.045
85 	16    	77.8686	7.17682	70.3719	103.608
86 	16    	90.0076	47.8969	71.126 	272.227
87 	16    	146.751	261.12 	70.7444	1157.11
88 	16    	121.34 	112.422	70.9049	464.102
89 	16    	75.7764	3.02129	73.2457	85.7767
90 	16    	74.2531	2.47667	70.4481	78.8829
91 	16    	82.0864	19.2568	70.0296	151.158
92 	16    	88.5152	54.8699	69.1819	300.718
93 	16    	87.4107	46.8887	71.0496	268.652
94 	16    	76.4021	7.96369	69.686 	104.805
95 	16    	75.8171	6.43867	69.3824	98.7773
96 	16    	74.696 	5.31112	67.8738	91.9102
97 	16    	92.9825	50.1773	71.3831	235.866
98 	16    	119.173	106.718	69.26  	501.547
99 	16    	102.447	81.2427	71.7221	401.983
