gen	nevals	avg    	std    	min    	max    
0  	16    	1099.08	694.274	313.499	2893.58
1  	16    	939.639	395.238	176.581	1655.61
2  	16    	894.637	688.223	141.57 	2758.94
3  	16    	428.636	520.501	111.198	2196.18
4  	16    	378.689	353.418	133.5  	1198.72
5  	16    	218.524	194.982	95.3507	912.606
6  	16    	247.073	342.921	77.2904	1342.27
7  	16    	444.672	398.946	87.3638	1282.02
8  	16    	1872.82	1943.81	84.0426	4629.65
9  	16    	691.238	1075.91	80.5813	4366.44
10 	16    	492.655	1010.03	77.173 	4302.07
11 	16    	321.62 	372.35 	78.2183	1231.26
12 	16    	459.249	1113.51	77.158 	4610.39
13 	16    	682.263	1310.99	73.811 	4329.45
14 	16    	191.064	247.418	71.7595	1123.33
15 	16    	429.382	655.209	71.5796	2636.14
16 	16    	196.179	283.697	70.7096	1219.46
17 	16    	585.399	952.413	71.918 	3837.09
18 	16    	440.022	464.463	77.6086	1173.85
19 	16    	192.339	284.89 	74.4518	1260.36
20 	16    	631.477	1057.86	75.8189	4436.18
21 	16    	146.154	96.7397	72.7522	403.665
22 	16    	138.973	160.554	72.347 	733.497
23 	16    	313.396	390.281	75.7042	1336.22
24 	16    	164.595	231.657	70.0209	1006.69
25 	16    	114.852	146.272	68.8531	680.94 
26 	16    	287.471	519.081	72.8681	1959.44
27 	16    	231.906	309.655	73.9841	1241.23
28 	16    	191.965	263.569	69.4118	1138.01
29 	16    	136.407	245.104	69.2419	1085.64
30 	16    	309.041	382.363	69.3687	1105.04
31 	16    	123.225	133.157	68.7151	548.713
32 	16    	313.776	401.614	71.2152	1223.95
33 	16    	127.636	172.896	70.6078	792.072
34 	16    	147.575	235.071	70.4205	1052.9 
35 	16    	106.602	107.453	72.0235	521.452
36 	16    	144.68 	207.769	69.8592	911.409
37 	16    	76.0271	7.03773	69.2776	100.977
38 	16    	91.1966	38.8158	69.7159	216.153
39 	16    	138.496	240.652	67.5884	1070.06
40 	16    	152.452	140.999	69.115 	587.425
41 	16    	76.1208	9.46874	68.7881	110.625
42 	16    	115.74 	146.799	70.4654	683.189
43 	16    	95.8804	75.2496	67.8557	382.662
44 	16    	121.953	109.977	70.2457	413.795
45 	16    	95.6253	81.1346	69.3245	409.389
46 	16    	104.94 	101.786	69.8961	497.189
47 	16    	76.2587	7.5607 	69.4328	97.3547
48 	16    	96.5251	56.4753	70.2927	297.304
49 	16    	92.5016	45.4426	68.4447	253.216
50 	16    	302.982	311.32 	70.0335	1025.4 
51 	16    	91.6893	50.7539	67.8419	282.734
52 	16    	125.523	160.532	69.7978	726.322
53 	16    	96.9956	86.1322	69.4395	429.74 
54 	16    	123.267	192.567	69.4956	868.778
55 	16    	76.9066	15.1376	67.8618	134.029
56 	16    	134.895	209.539	68.6996	943.947
57 	16    	103.57 	76.9123	69.2534	345.116
58 	16    	92.5714	59.1517	69.8111	312.208
59 	16    	85.2973	33.3934	69.2136	202.633
60 	16    	198.805	221.808	69.6479	727.083
61 	16    	72.6322	2.35397	69.0101	77.8575
62 	16    	139.812	251.008	68.791 	1111.74
63 	16    	169.329	177.249	69.7809	581.229
64 	16    	79.8605	15.0392	69.2268	124.101
65 	16    	98.1258	56.9879	69.59  	287.193
66 	16    	73.74  	4.03415	69.9518	86.9068
67 	16    	128.642	217.114	68.1918	969.496
68 	16    	92.7701	71.0115	68.6011	366.123
69 	16    	154.296	233.149	68.5431	1028.88
70 	16    	130.532	107.764	68.0582	366.586
71 	16    	242.725	227.255	68.8749	675.352
72 	16    	142.768	198.856	67.9909	880.843
73 	16    	75.4942	14.4301	67.6407	130.663
74 	16    	73.3686	4.24067	68.7738	87.7513
75 	16    	88.4934	58.3074	68.6771	313.692
76 	16    	95.5288	66.0652	68.6606	333.804
77 	16    	125.022	131.35 	70.457 	592.73 
78 	16    	96.6404	92.8478	68.4415	456.061
79 	16    	158.783	244.077	69.9792	1009.51
80 	16    	97.5511	63.2816	68.9171	306.678
81 	16    	135.153	243.408	69.2787	1077.8 
82 	16    	80.5467	27.3272	68.5918	184.716
83 	16    	190.126	305.565	69.2376	1014.14
84 	16    	72.2319	2.37498	69.5741	78.2862
85 	16    	82.1144	41.3398	65.5005	241.731
86 	16    	168.721	240.758	68.0536	941.546
87 	16    	123.318	135.536	68.3361	499.344
88 	16    	71.6549	1.45621	69.6242	74.5183
89 	16    	72.6345	1.43459	70.716 	75.2923
90 	16    	97.0721	67.7995	68.6087	297.147
91 	16    	75.2412	13.2268	68.3417	125.871
92 	16    	72.737 	5.38264	69.0969	89.4609
93 	16    	71.8012	3.15173	68.0261	80.2654
94 	16    	104.224	80.0663	68.6963	335.034
95 	16    	82.0463	38.791 	68.8105	231.613
96 	16    	98.9956	87.3652	67.2812	426.152
97 	16    	117.473	119.187	67.7534	490.712
98 	16    	132.197	186.796	68.5888	838.734
99 	16    	84.125 	28.4636	67.438 	159.181
