gen	nevals	avg    	std    	min    	max    
0  	16    	2281.13	1291.44	329.424	4760.24
1  	16    	1909.33	1098.07	295.82 	4637.05
2  	16    	1757.93	889.031	971.419	4798.92
3  	16    	1651.84	564.283	1143.14	3189.46
4  	16    	1859.12	774.999	1363.24	4614.64
5  	16    	1271.36	286.818	497.359	1400.66
6  	16    	1786.72	425.767	1259.94	2711.78
7  	16    	1304.97	330.304	556.493	1937.99
8  	16    	1281.76	448.352	173.101	1937.99
9  	16    	1286.75	468.997	172.063	1821.79
10 	16    	1121.75	727.024	128.099	2639.98
11 	16    	1069.54	672.605	159.471	1937.99
12 	16    	916.296	713.792	107.766	1937.99
13 	16    	641.123	578.199	128.716	1937.99
14 	16    	573.834	557.927	90.2868	1937.92
15 	16    	193.824	114.11 	78.4231	460.409
16 	16    	754.994	1156.77	77.3363	4745.75
17 	16    	834.04 	1157   	85.2752	4460.31
18 	16    	842.691	1028.61	83.2782	4196.81
19 	16    	321.9  	397.426	80.1807	1259.07
20 	16    	545.938	1114.11	70.9837	4663.33
21 	16    	242.811	332.937	74.5993	1317.77
22 	16    	398.565	533.092	79.2133	1778.47
23 	16    	326.29 	412.279	74.4251	1677.37
24 	16    	205.744	242.76 	75.9477	982.75 
25 	16    	480.976	1005.79	75.0381	4173.64
26 	16    	610.846	1162.98	74.7658	4694.54
27 	16    	382.801	468    	72.4744	1381.32
28 	16    	444.288	462.365	76.2572	1671.49
29 	16    	315.631	876.901	71.7531	3711.37
30 	16    	219.973	325.589	73.9012	1276.09
31 	16    	162.184	205.52 	72.5128	864.324
32 	16    	264.053	393.141	71.194 	1654.46
33 	16    	385.759	801.98 	75.808 	3177.96
34 	16    	388.927	789.796	72.2694	3195.7 
35 	16    	424.307	496.416	71.6779	1562.7 
36 	16    	175.459	189.557	72.536 	667.469
37 	16    	362.332	1053.55	75.7184	4441.45
38 	16    	209.064	356.855	72.0578	1537.03
39 	16    	176.34 	182.044	71.1068	726.892
40 	16    	545.348	1072.59	70.6393	4341.73
41 	16    	198.667	322.497	71.4881	1090.92
42 	16    	309.778	386.882	71.4068	1114.55
43 	16    	226.502	269.139	74.2982	907.851
44 	16    	75.5001	6.24995	69.3452	94.4219
45 	16    	87.4703	48.0217	70.5184	273.039
46 	16    	172.792	274.662	69.9199	1183.84
47 	16    	173.799	271.862	70.6264	1197.43
48 	16    	122.718	164.9  	69.0552	759.839
49 	16    	166.812	266.044	69.6962	1149.8 
50 	16    	130.273	114.064	71.4914	507.144
51 	16    	152.194	250.146	72.2002	1113.18
52 	16    	134.782	227.329	71.3901	1015.16
53 	16    	105.563	102.287	71.478 	500.993
54 	16    	551.145	1061.08	69.8554	4284.22
55 	16    	78.2166	9.69286	69.4611	111.976
56 	16    	260.187	415.782	71.1985	1491.7 
57 	16    	376.45 	957.809	71.1396	4017.24
58 	16    	329.322	438.789	70.797 	1398.4 
59 	16    	228.011	317.16 	71.9692	1271.54
60 	16    	379.783	929.635	72.2595	3852.37
61 	16    	395.31 	881.731	69.3102	3457.28
62 	16    	263.642	406.73 	72.268 	1333.88
63 	16    	241.387	361.073	71.9791	1331.56
64 	16    	142.974	251.135	71.6564	1115.17
65 	16    	223.831	297.944	70.3138	1089.39
66 	16    	77.2959	3.88554	73.0027	86.2126
67 	16    	77.3898	6.20586	71.6645	99.1817
68 	16    	361.35 	1098.91	72.1473	4617.39
69 	16    	85.8727	27.5643	72.0872	189.6  
70 	16    	100.352	64.5898	72.2362	336.794
71 	16    	76.3111	2.69983	72.0047	84.4128
72 	16    	111.877	133.164	69.0068	627.372
73 	16    	163.877	164.272	71.2224	654.079
74 	16    	184.98 	203.583	71.3767	853.791
75 	16    	140.787	170.64 	70.9384	718.492
76 	16    	253.993	438.726	72.5682	1511.89
77 	16    	80.486 	8.363  	69.7734	101.709
78 	16    	114.999	121.92 	71.9421	579.341
79 	16    	134.187	225.614	70.9449	1007.91
80 	16    	109.527	118.849	70.1549	569.009
81 	16    	170.16 	241.666	72.0432	1004.24
82 	16    	101.986	93.6452	71.5466	463.672
83 	16    	132.803	201.999	71.0004	913.738
84 	16    	79.4719	6.05664	71.8326	93.4338
85 	16    	163.409	223.24 	69.5966	775.927
86 	16    	202.279	321.014	71.0152	1272.72
87 	16    	90.4673	58.6213	70.0714	317.067
88 	16    	81.9485	22.8596	70.4237	169.434
89 	16    	141.398	140.336	71.7092	565.783
90 	16    	91.4333	40.0732	68.8521	232.639
91 	16    	77.5046	11.4509	68.2367	119.169
92 	16    	154.758	246.064	71.8603	1092.21
93 	16    	81.3828	20.1052	69.0066	157.229
94 	16    	75.3222	2.37733	71.0061	79.8253
95 	16    	136.007	234.839	70.2212	1045.39
96 	16    	84.363 	35.1859	72.4092	220.458
97 	16    	120.696	102.939	71.3096	476.879
98 	16    	102.783	80.3274	69.9809	393.477
99 	16    	193.812	332.336	69.979 	1351.05
