gen	nevals	avg    	std    	min    	max    
0  	16    	1887.33	298.356	1043.49	2385.57
1  	16    	2206.04	787.746	905.411	4756.76
2  	16    	2015.49	693.697	811.213	3250.4 
3  	16    	1477.17	480.287	597.307	2054.52
4  	16    	1291.53	622.998	503.283	2385.57
5  	16    	1013.59	598.451	561.541	2385.57
6  	16    	1012.93	1053.98	500.281	4696.01
7  	16    	761.007	464.712	468.86 	2476.04
8  	16    	1215.89	754.347	492.899	3117.61
9  	16    	1116.8 	817.065	510.461	3487.67
10 	16    	602.104	112.723	468.765	892.827
11 	16    	669.952	270.646	482.3  	1435.18
12 	16    	977.903	1033.85	479.543	4237.84
13 	16    	674.001	496.022	442.687	2465.67
14 	16    	753.568	745.931	443.066	3570.5 
15 	16    	533.74 	236.755	436.679	1443.3 
16 	16    	1086.11	1358.37	423.157	4507.59
17 	16    	735.183	432.706	433.829	1863.96
18 	16    	688.245	477.432	421.083	2379.25
19 	16    	692.627	491.929	439.139	2190.08
20 	16    	541.092	164.566	443.099	1087.42
21 	16    	667.029	424.094	438.956	1986.99
22 	16    	874.632	1002.02	437.144	4368.96
23 	16    	456.824	16.2198	429.87 	491.576
24 	16    	725.667	813.41 	437.73 	3861.59
25 	16    	917.403	884.791	429.079	3746.26
26 	16    	555.145	230.532	429.329	1360.46
27 	16    	592.609	371.924	436.481	1956.85
28 	16    	472.615	39.3947	429.066	589.875
29 	16    	469.51 	31.1124	433.087	542.178
30 	16    	474.282	40.6585	422.967	551.924
31 	16    	472.605	31.6798	425.502	532.466
32 	16    	490.989	105.383	414.231	844.47 
33 	16    	445.355	18.0278	418.542	489.879
34 	16    	485.409	124.426	422.725	958.624
35 	16    	477.168	79.6298	424.444	763.554
36 	16    	463.695	48.8479	421.515	631.712
37 	16    	506.04 	169.981	426.115	1144.56
38 	16    	458.555	24.0448	419.641	495.152
39 	16    	481.3  	112.785	415.703	911.858
40 	16    	463.558	29.6639	428.479	539.835
41 	16    	456.582	27.2826	421.261	528.154
42 	16    	622.654	557.235	440.62 	2776.82
43 	16    	484.762	68.6514	425.186	705.889
44 	16    	651.627	404.791	429.664	1846.92
45 	16    	671.92 	614.32 	424.15 	2987.67
46 	16    	488.016	121.674	426.132	947.956
47 	16    	709.421	459.175	421.543	1827.32
48 	16    	692.766	815.449	431.987	3845.96
49 	16    	849.86 	1046.16	426.025	4329.92
50 	16    	744.678	988.609	436.524	4557.99
51 	16    	482.289	72.2691	425.922	693.04 
52 	16    	900.213	1051.3 	431.522	3736.31
53 	16    	541.505	217.878	425.893	1331.52
54 	16    	601.252	384.352	422.674	1778.26
55 	16    	484.152	115.249	420.661	921.535
56 	16    	446.054	20.2316	421.101	486.834
57 	16    	455.973	28.2946	408.681	503.689
58 	16    	495.958	106.516	420.284	848.908
59 	16    	501.233	156.117	422.763	1095.99
60 	16    	728.252	560.353	420.247	2406.76
61 	16    	737.284	734.343	427.306	2871.41
62 	16    	540.969	228.81 	413.751	1351.18
63 	16    	489.659	90.2938	425.594	800.752
64 	16    	500.28 	114.016	416.052	909.357
65 	16    	481.485	41.5033	419.154	586.344
66 	16    	477.587	45.5116	423.212	559.362
67 	16    	470.15 	47.4484	410.247	589.762
68 	16    	467.835	51.88  	422.988	616.246
69 	16    	546.821	397.373	416.601	2083.5 
70 	16    	457.314	50.4411	408.9  	604.177
71 	16    	456.752	42.5385	418.972	576.64 
72 	16    	451.616	31.1393	418.233	509.843
73 	16    	569.814	355.259	414.398	1868.49
74 	16    	459.562	47.278 	417.296	599.748
75 	16    	523.92 	324.205	414.197	1775.18
76 	16    	512.543	114.157	422.438	773.479
77 	16    	510.696	161.688	412.927	1006.48
78 	16    	533.429	211.944	412.704	1288.54
79 	16    	446.453	24.834 	423.609	518.239
80 	16    	516.898	203.963	419.859	1154.35
81 	16    	457.109	39.8893	409.797	577.177
82 	16    	506.699	162.963	420.99 	1120.3 
83 	16    	438.894	19.3595	411.283	480.337
84 	16    	486.07 	123.29 	412.208	940.09 
85 	16    	531.312	266.795	416.732	1403.08
86 	16    	453.43 	31.2916	413.661	550.476
87 	16    	449.45 	62.0657	417.207	682.441
88 	16    	442.533	28.834 	409.738	528.747
89 	16    	567.263	312.534	410.234	1547.51
90 	16    	781.134	1036.11	424.123	4733.16
91 	16    	453.013	44.6723	418.199	616.181
92 	16    	475.394	126.357	418.621	957.72 
93 	16    	441.776	20.8316	413.35 	486.451
94 	16    	490.807	93.1359	425.618	818.315
95 	16    	449.335	19.7572	421.028	490.78 
96 	16    	511.521	156.951	420.564	1060.58
97 	16    	538.195	250.145	411.31 	1279.85
98 	16    	499.233	103.585	423.893	824.132
99 	16    	466.455	73.218 	407.755	716.103
