gen	nevals	avg    	std    	min    	max    
0  	16    	1547.17	928.827	591.253	4566.3 
1  	16    	1194.1 	643.182	884.538	3264.07
2  	16    	1127.38	730.627	308.073	2957.18
3  	16    	915.673	911.074	138.814	4260   
4  	16    	689.517	717.005	99.9366	2896.44
5  	16    	589.763	380.021	116.79 	1290.53
6  	16    	666.081	880.225	126.338	3848.13
7  	16    	542.822	1045.9 	119.741	4522.01
8  	16    	265.561	225.236	98.6151	907.443
9  	16    	247.524	271.474	99.8464	1082.44
10 	16    	616.313	1010.25	95.0904	4243.36
11 	16    	167.839	185.31 	84.6643	867.03 
12 	16    	446.699	431.647	74.5674	1346.14
13 	16    	128.948	98.2715	80.1414	491.407
14 	16    	1013.3 	1524.87	77.9531	4610.11
15 	16    	146.029	127.54 	78.7167	515.826
16 	16    	215.51 	276.05 	81.3499	1021.78
17 	16    	682.759	1488.81	76.663 	4665.27
18 	16    	523.386	999.981	75.4402	4187.88
19 	16    	405.534	858.252	81.8613	3695.2 
20 	16    	961.866	1551.35	74.7054	4553.45
21 	16    	246.027	320.199	76.0694	1028.8 
22 	16    	271.95 	335.584	78.9378	1150.6 
23 	16    	243.822	317.348	75.2075	1028.43
24 	16    	172.199	154.946	75.1431	522.778
25 	16    	310.124	368.915	69.8634	1134.97
26 	16    	357.298	936.595	74.9668	3959.89
27 	16    	363.064	1080.81	71.8448	4548.72
28 	16    	318.966	414.926	72.4153	1209.88
29 	16    	249.699	316.686	70.0811	1022.65
30 	16    	442.943	925.551	72.0123	3850.17
31 	16    	292.015	603.404	70.1199	2521.51
32 	16    	335.363	386.904	66.9535	993.195
33 	16    	204.52 	263.157	68.3139	1037.24
34 	16    	240.757	275.595	70.6361	881.657
35 	16    	166.296	258.754	69.7065	1046.84
36 	16    	128.326	142.901	68.7017	585.139
37 	16    	157.166	222.977	66.9269	862.49 
38 	16    	217.156	310.918	69.8764	1045.06
39 	16    	138.228	224.524	69.4041	1003.45
40 	16    	362.651	369.13 	69.2974	1075.47
41 	16    	343.297	347.085	71.0805	1148.08
42 	16    	150.693	215.121	70.5696	957.131
43 	16    	269.528	355.281	68.9073	1059.55
44 	16    	298.196	364.093	69.6629	1162.77
45 	16    	221.949	303.448	69.9595	1098.59
46 	16    	125.731	144.435	69.1358	603.329
47 	16    	137.923	125.614	70.8091	507.721
48 	16    	109.996	115.017	68.1927	532.685
49 	16    	185.338	265.025	67.4426	1092.77
50 	16    	136.64 	246.081	68.7228	1089.51
51 	16    	176.874	180.687	67.9481	636.781
52 	16    	103.476	102.741	68.1992	496.826
53 	16    	200.868	289.651	66.9488	996.395
54 	16    	82.7126	33.8801	68.1697	211.37 
55 	16    	93.0787	54.0637	69.0482	263.233
56 	16    	75.8677	14.9548	68.1278	133.284
57 	16    	73.0567	3.37281	68.5439	83.0128
58 	16    	143.3  	244.185	69.2827	1079.79
59 	16    	127.336	153.013	69.4344	697.907
60 	16    	74.0759	3.21391	67.6135	79.549 
61 	16    	97.9016	91.5643	68.8421	452.002
62 	16    	80.7452	21.1863	69.5851	154.403
63 	16    	87.7358	38.3636	67.3466	192.18 
64 	16    	94.6672	80.3239	69.5433	404.485
65 	16    	128.477	160.308	70.1199	729.877
66 	16    	111.202	137.203	69.3757	641.041
67 	16    	75.281 	7.70306	69.8697	103.931
68 	16    	87.7896	39.5531	68.9074	235.047
69 	16    	89.8578	66.7751	68.5373	347.036
70 	16    	188.07 	261.96 	70.337 	909.523
71 	16    	86.8001	41.7118	68.8049	240.423
72 	16    	75.7905	8.05164	68.6609	105.1  
73 	16    	165.096	227.705	70.1206	955.92 
74 	16    	140.499	219.389	69.5599	982.563
75 	16    	118.301	180.015	67.4866	815.447
76 	16    	91.2103	33.762 	68.2229	177.29 
77 	16    	135.609	222.825	67.8199	996.545
78 	16    	82.9419	37.7664	69.0289	228.035
79 	16    	186.425	264.767	69.5361	1093.46
80 	16    	175.309	237.674	67.4772	943.282
81 	16    	73.3581	5.0604 	67.5197	87.4077
82 	16    	136.068	220.788	67.5758	983.308
83 	16    	188.379	202.671	66.9362	834.167
84 	16    	88.4167	45.3365	69.0718	234.004
85 	16    	72.4284	2.2139 	69.1065	77.4581
86 	16    	72.6081	3.94953	67.9895	84.2833
87 	16    	71.0093	2.16501	67.3133	75.3755
88 	16    	91.5736	58.9665	69.8153	310.16 
89 	16    	198.936	233.266	67.9319	842.234
90 	16    	255.972	354.304	68.2789	1188.77
91 	16    	159.272	195.561	68.513 	815.613
92 	16    	137.75 	132.25 	69.3337	537.676
93 	16    	134.589	117.226	67.6679	434.553
94 	16    	228.756	246.317	68.8351	882.506
95 	16    	142.829	136.194	68.0068	510.819
96 	16    	119.714	92.107 	69.3764	359.221
97 	16    	71.6416	2.18158	69.4672	78.7942
98 	16    	193.353	272.166	67.6212	944.854
99 	16    	79.2678	28.2356	68.5567	188.381
