gen	nevals	avg    	std    	min    	max    
0  	16    	1859.31	831.885	856.471	4688.16
1  	16    	1398.14	517.404	598.227	2091.29
2  	16    	895.657	376.563	449.76 	1972.98
3  	16    	814.8  	520.124	472.844	2329.48
4  	16    	694.979	339.78 	449.665	1817.77
5  	16    	1323.4 	1300.94	449.649	4707.33
6  	16    	516.542	109.387	425.278	799.156
7  	16    	951.554	897.804	456.667	3293.05
8  	16    	1165.21	801.877	426.021	2445.48
9  	16    	866.853	675.476	427.115	2394.88
10 	16    	553.053	159.903	433.262	1027.47
11 	16    	623.808	426.569	437.906	2261.51
12 	16    	638.485	414.906	435.582	2183.9 
13 	16    	808.222	771.451	434.782	3378.25
14 	16    	573.035	200.529	430.916	1147.23
15 	16    	1209.94	1118.42	437.501	4423.32
16 	16    	542.465	224.03 	431.664	1221.91
17 	16    	482.97 	47.1515	423.62 	590.403
18 	16    	613.15 	455.218	429.727	2359.95
19 	16    	741.557	588.536	424.315	2387.12
20 	16    	522.728	117.481	431.551	825.581
21 	16    	611.911	469.876	423.25 	2389.88
22 	16    	481.448	52.1321	425.311	607.034
23 	16    	462.803	33.8873	434.851	564.478
24 	16    	498.344	54.616 	418.861	602.009
25 	16    	496.928	100.264	427.28 	785.335
26 	16    	466.617	33.4625	430.736	556.883
27 	16    	459.587	56.1526	417.881	664.868
28 	16    	461.781	38.943 	420.466	554.838
29 	16    	496.387	99.9459	413.357	795.1  
30 	16    	660.472	785.569	419.046	3701.15
31 	16    	519.015	176.665	415.203	1030.37
32 	16    	472.181	108.183	418.523	883.325
33 	16    	498.737	113.993	424.686	847.181
34 	16    	467.447	45.9064	422.884	612.751
35 	16    	468.732	45.7589	417.221	568.113
36 	16    	504.266	143.021	420.467	1028.51
37 	16    	453.494	33.434 	425.516	551.818
38 	16    	519.077	148.889	419.113	873.352
39 	16    	453.876	35.0754	422.01 	546.137
40 	16    	435.66 	17.1681	409.665	479.97 
41 	16    	441.298	21.2343	415.968	482.627
42 	16    	442.964	15.5975	416.377	465.755
43 	16    	441.084	16.3377	418.014	477.302
44 	16    	441.464	10.6941	415.083	459.062
45 	16    	481.201	92.6314	420.36 	783.934
46 	16    	430.289	14.766 	416.685	474.725
47 	16    	432.211	17.215 	414.907	488.744
48 	16    	451.66 	28.1749	418.47 	537.308
49 	16    	443.448	44.8718	413.468	606.084
50 	16    	436.453	21.38  	421.655	494.799
51 	16    	460.238	64.8562	414.496	641.71 
52 	16    	455.747	55.748 	423.21 	665.51 
53 	16    	440.716	13.4806	423.757	468.822
54 	16    	437.273	18.5173	418.959	499.901
55 	16    	434.69 	18.6149	410.316	493.525
56 	16    	435.003	19.5392	415.378	481.761
57 	16    	437.39 	13.9789	421.042	465.407
58 	16    	466.129	148.233	412.408	1039.28
59 	16    	512.719	324.887	416.055	1770.66
60 	16    	431.002	13.9261	415.864	470.872
61 	16    	445.681	26.8735	414.382	519.666
62 	16    	434.178	11.8804	402.95 	456.033
63 	16    	436.059	13.8541	416.251	473.796
64 	16    	427.951	11.9981	409.94 	453.569
65 	16    	430.833	6.76549	418.706	441.305
66 	16    	432.539	15.3421	405.545	474.585
67 	16    	429.66 	5.35111	419.522	441.256
68 	16    	435.791	14.502 	418.539	466.501
69 	16    	432.489	6.48099	421.465	443.369
70 	16    	434.309	12.6513	419.1  	459.666
71 	16    	431.236	10.4522	416.195	454.543
72 	16    	427.545	12.5567	415.453	467.054
73 	16    	426.447	10.0953	414.312	447.995
74 	16    	426.47 	9.94993	409.952	448.852
75 	16    	435.346	31.1885	417.427	552.331
76 	16    	424.216	7.62568	411.557	440.79 
77 	16    	433.776	13.2846	412.714	460.139
78 	16    	423.522	7.77929	411.53 	439.059
79 	16    	426.469	8.08637	416.597	450.617
80 	16    	457.153	89.1014	409.385	796.794
81 	16    	428.02 	12.0304	411.624	456.182
82 	16    	423.937	12.1382	406.75 	447.715
83 	16    	428.976	8.31463	416.389	448.028
84 	16    	437.254	13.697 	414.022	468.423
85 	16    	430.292	8.49595	413.542	453.99 
86 	16    	440.495	21.4599	413.276	483.873
87 	16    	448.328	42.8819	417.163	572.232
88 	16    	436.379	21.0163	414.795	485.437
89 	16    	430.087	10.3096	415.904	452.396
90 	16    	433.527	8.31571	416.468	449.235
91 	16    	432.323	10.8422	412.553	456.291
92 	16    	428.152	9.24843	415.599	449.545
93 	16    	429.678	12.6031	416.259	459.967
94 	16    	432.266	9.44078	421.765	458.854
95 	16    	438.088	15.501 	421.658	487.883
96 	16    	437.583	10.6651	422.29 	459.946
97 	16    	431.153	7.96386	414.107	440.191
98 	16    	436.814	17.0271	415.215	468.047
99 	16    	425    	8.76143	411.828	447.671
