gen	nevals	avg    	std    	min    	max    
0  	16    	1814.11	560.063	1396.41	3474.82
1  	16    	1877.65	981.178	399.898	4198.39
2  	16    	1836.09	1152.79	557.672	4752.91
3  	16    	1323.06	501.6  	517.046	2726.39
4  	16    	1196.61	568.378	278.098	1937.99
5  	16    	922.178	899.989	124.592	3610.42
6  	16    	573.43 	446.62 	97.2588	1399.89
7  	16    	765.724	632.933	94.1944	1937.99
8  	16    	388.376	415.012	89.2093	1515.56
9  	16    	622.767	1050.23	82.1862	4356.86
10 	16    	437.999	491.129	80.1641	1528.38
11 	16    	343.406	404.882	84.2089	1387.36
12 	16    	782.469	1142.13	84.8733	4617   
13 	16    	621.589	1091.03	79.57  	4598.65
14 	16    	459.723	528.337	78.8877	1815   
15 	16    	381.946	409.873	80.3074	1417.83
16 	16    	307.422	418.407	77.5749	1520.37
17 	16    	411.504	527.159	73.8236	1554.58
18 	16    	324.725	433.497	75.0664	1585.79
19 	16    	709.413	1161.23	75.0697	4746.51
20 	16    	684.055	1108.13	79.1159	4430.53
21 	16    	206.144	318.123	78.0345	1387.36
22 	16    	544.224	475.476	77.7546	1437.19
23 	16    	843.217	768.765	76.9941	2696.36
24 	16    	334.453	462.74 	76.6174	1559.76
25 	16    	195.268	296.619	82.2302	1234.49
26 	16    	150.843	98.8479	82.3322	455.317
27 	16    	343.215	444.226	73.941 	1363.59
28 	16    	250.122	424.577	74.4186	1431.87
29 	16    	443.072	497.103	74.8116	1520.07
30 	16    	524.707	592.37 	76.113 	1523.66
31 	16    	373.668	341.13 	77.6958	1057.2 
32 	16    	349.737	461.512	75.2339	1616.83
33 	16    	109.864	94.01  	73.7613	472.471
34 	16    	250.311	430.073	74.8898	1403.03
35 	16    	227.039	381.595	74.1985	1324.54
36 	16    	250.77 	340.008	74.6813	1140.33
37 	16    	90.1052	31.8074	71.7668	210.474
38 	16    	313.858	436.084	74.4736	1473.24
39 	16    	81.3009	6.78856	72.425 	99.1738
40 	16    	148.576	254.799	73.3585	1134.96
41 	16    	155.687	259.546	71.9677	1149.21
42 	16    	335.849	430.897	73.8486	1192.33
43 	16    	229.656	351.256	71.5141	1360.62
44 	16    	271.79 	437.835	71.0369	1565.73
45 	16    	220.071	362.854	70.4611	1521.52
46 	16    	154.019	247.404	74.586 	1104.97
47 	16    	98.7488	51.5302	73.232 	284.361
48 	16    	136.808	232.268	73.2608	1036.28
49 	16    	108.289	113.324	74.9186	546.809
50 	16    	126.664	171.089	72.7554	786.616
51 	16    	164.082	278.445	69.2283	1220.98
52 	16    	235.738	365.192	73.8546	1474   
53 	16    	128.512	117.532	71.8928	442.965
54 	16    	84.8931	15.6538	74.3292	134.892
55 	16    	123.84 	172.425	74.1414	791.353
56 	16    	164.513	197.249	71.8342	751.148
57 	16    	99.8703	85.7814	70.365 	430.422
58 	16    	76.8585	3.17595	72.4831	84.2604
59 	16    	80.5023	10.4271	73.2422	117.743
60 	16    	138.738	238.627	71.7689	1062.82
61 	16    	124.23 	176.261	71.8193	806.145
62 	16    	138.484	196.09 	72.0063	879.329
63 	16    	127.378	196.165	70.9104	886.931
64 	16    	102.333	60.1701	72.1011	282.735
65 	16    	149.683	262.07 	71.2773	1163.42
66 	16    	178.429	250.513	70.2897	1082.5 
67 	16    	86.1368	43.385 	70.4003	253.527
68 	16    	189.935	275.823	72.281 	1158   
69 	16    	118.332	113.605	70.4589	477.92 
70 	16    	88.4162	28.7856	72.6937	170.83 
71 	16    	104.224	86.8188	71.4657	424.579
72 	16    	339.873	386.532	70.4027	1122.7 
73 	16    	78.2721	8.36476	72.018 	107.613
74 	16    	83.7879	38.512 	69.5937	232.641
75 	16    	101.326	75.3567	69.1391	382.84 
76 	16    	74.4591	1.95458	70.6471	78.5679
77 	16    	127.306	199.298	70.9476	898.907
78 	16    	109.325	122.031	68.2668	579.621
79 	16    	78.1254	5.30089	70.728 	89.4517
80 	16    	138.971	199.678	69.501 	893.203
81 	16    	79.1473	20.1908	68.9138	153.693
82 	16    	74.1963	3.20013	71.0179	82.691 
83 	16    	74.8751	3.85126	70.2044	85.1527
84 	16    	75.4738	5.21378	70.6927	91.7891
85 	16    	74.9375	3.66465	68.6889	82.014 
86 	16    	82.2572	30.6509	71.5775	200.801
87 	16    	108.46 	128.866	70.117 	607.137
88 	16    	74.6118	4.66272	71.0102	90.5085
89 	16    	132.331	226.057	68.8833	1007.77
90 	16    	75.5316	2.72548	71.5182	83.1672
91 	16    	74.5363	5.36351	69.8377	93.5437
92 	16    	74.9565	2.36384	70.5796	80.0509
93 	16    	86.5387	33.9561	71.8729	209.364
94 	16    	109.543	117.79 	71.479 	561.222
95 	16    	75.1667	6.65827	70.5552	98.9244
96 	16    	107.197	113.928	71.6181	547.203
97 	16    	109.081	129.297	70.1001	609.526
98 	16    	75.6052	6.14992	70.8142	98.191 
99 	16    	84.5803	41.0267	70.6655	243.317
